Dataset	Size	NumFeatures	NumClasses	Alpha	Test Acc	Robust Acc (eps=0.1)	Robust Acc (eps=1.0)	Robust Acc (eps=2.0)	Effective Rank	Normal Alignment	Runtime (s)
abalone	4177	8	3	1.0	65.97	45.91	6.35	3.42	1.5314	0.2174	2.12
acute-inflammation	120	6	2	1.0	100.00	100.00	8.33	6.67	1.6160	0.3852	0.39
acute-nephritis	120	6	2	1.0	100.00	100.00	30.83	35.00	1.2950	0.4467	0.37
adult	48842	14	2	1.0	85.28	76.80	20.01	11.89	1.0496	0.1892	19.85
annealing	898	31	5	1.0	95.23	80.90	13.94	8.79	2.0970	0.2121	0.56
arrhythmia	452	262	13	1.0	75.22	55.53	7.74	5.09	2.8409	0.1887	1.34
audiology-std	196	59	18	1.0	88.37	80.81	8.72	8.14	4.1971	0.1309	0.81
balance-scale	625	4	3	1.0	97.28	81.73	53.04	32.85	1.2996	0.3945	0.50
balloons	16	4	2	1.0	81.25	75.00	37.50	43.75	1.8479	0.9552	0.42
bank	4521	16	2	1.0	89.89	87.28	43.14	27.94	1.0878	0.2393	1.47
blood	748	4	2	1.0	79.28	72.99	27.54	12.97	1.1009	0.3933	0.52
breast-cancer	286	9	2	1.0	72.54	66.20	11.27	2.82	1.1433	0.2428	0.42
breast-cancer-wisc	699	9	2	1.0	97.57	96.43	41.86	17.00	1.1869	0.4062	0.52
breast-cancer-wisc-diag	569	30	2	1.0	97.01	93.66	20.60	5.28	1.1395	0.1454	0.50
breast-cancer-wisc-prog	198	33	2	1.0	81.63	77.04	16.84	11.22	1.3815	0.1435	0.54
breast-tissue	106	9	6	1.0	73.08	62.50	15.38	5.77	3.3225	0.2755	0.38
car	1728	6	4	1.0	99.02	92.19	45.60	45.49	1.2714	0.4590	0.78
cardiotocography-10clases	2126	21	10	1.0	87.29	67.56	6.83	1.74	2.9031	0.1889	0.93
cardiotocography-3clases	2126	21	3	1.0	93.55	80.79	30.46	12.05	1.4757	0.2311	0.85
chess-krvk	28056	6	18	1.0	80.84	29.93	1.85	0.81	2.8518	0.3353	16.02
chess-krvkp	3196	36	2	1.0	99.22	87.14	39.36	35.64	1.1796	0.1493	3.01
congressional-voting	435	16	2	1.0	61.47	61.47	61.24	61.24	1.6793	0.5975	0.36
conn-bench-sonar-mines-rocks	208	60	2	1.0	86.06	69.71	3.37	0.48	1.2865	0.1480	0.43
conn-bench-vowel-deterding	990	11	11	1.0	97.92	92.23	1.33	0.00	5.1966	0.3486	0.41
