Dataset	Size	NumFeatures	NumClasses	Alpha	Test Acc	Robust Acc (eps=0.1)	Robust Acc (eps=1.0)	Robust Acc (eps=2.0)	Effective Rank	Normal Alignment	Runtime (s)
connect-4	67557	42	2	1.0	87.67	47.54	37.06	48.05	1.0183	0.3279	112.54
contrac	1473	9	3	1.0	55.43	41.98	5.30	8.15	1.4991	0.2257	0.68
credit-approval	690	15	2	1.0	86.48	84.01	14.24	6.10	1.1806	0.1406	0.50
cylinder-bands	512	35	2	1.0	79.10	61.33	5.66	0.98	1.1607	0.1478	0.78
dermatology	366	34	6	1.0	98.90	93.96	20.05	12.91	2.9162	0.1831	0.87
echocardiogram	131	10	2	1.0	84.09	81.82	25.76	23.48	1.2050	0.2964	0.43
ecoli	336	7	8	1.0	87.50	80.65	24.70	6.25	2.4753	0.2801	0.44
energy-y1	768	8	3	1.0	96.48	91.54	31.38	31.12	1.4206	0.4086	0.53
energy-y2	768	8	3	1.0	93.10	84.11	28.78	22.92	1.3368	0.4881	0.53
fertility	100	9	2	1.0	89.00	88.00	71.00	70.00	1.3874	0.4190	0.43
flags	194	28	8	1.0	63.02	40.10	1.56	1.56	3.1058	0.1349	0.46
glass	214	9	6	1.0	71.23	55.66	9.91	2.36	2.9839	0.2939	0.44
haberman-survival	306	3	2	1.0	73.68	73.68	73.36	73.36	1.5764	0.4567	0.46
hayes-roth	160	3	3	1.0	84.09	78.03	10.61	11.36	1.4882	0.9128	0.44
heart-cleveland	303	13	5	1.0	62.50	53.95	11.18	11.51	2.1137	0.3254	0.44
heart-hungarian	294	12	2	1.0	86.64	81.85	26.71	26.37	1.2548	0.3949	0.45
heart-switzerland	123	12	5	1.0	47.58	35.48	0.81	0.00	3.2302	0.2670	0.41
heart-va	200	12	5	1.0	34.00	19.50	2.00	3.00	2.0801	0.2776	0.43
hepatitis	155	19	2	1.0	89.10	78.85	25.00	27.56	1.3344	0.3242	0.46
hill-valley	1212	100	2	1.0	77.15	39.07	48.18	61.42	1.0087	0.0963	0.90
horse-colic	368	25	2	1.0	82.00	74.33	23.33	28.00	1.3322	0.2571	0.46
ilpd-indian-liver	583	9	2	1.0	72.09	42.81	30.48	29.45	1.0363	0.3131	0.50
image-segmentation	2310	18	7	1.0	91.35	82.21	4.33	4.81	2.7105	0.2664	0.45
ionosphere	351	33	2	1.0	95.17	91.19	9.38	7.95	1.1657	0.2551	0.62
iris	150	4	3	1.0	96.62	93.92	37.84	34.46	1.1066	0.5994	0.42
led-display	1000	7	10	1.0	74.30	70.00	13.30	0.50	4.9089	0.1583	0.60
lenses	24	4	3	1.0	83.33	70.83	58.33	33.33	1.8866	0.3755	0.41
letter	20000	16	26	1.0	98.16	88.23	1.47	0.03	5.3298	0.2114	10.12
libras	360	90	15	1.0	85.83	75.28	3.61	0.56	7.7704	0.3090	1.13
low-res-spect	531	100	9	1.0	92.29	75.56	22.56	10.71	1.5704	0.2318	1.30
lung-cancer	32	56	3	1.0	65.62	37.50	12.50	21.88	1.6208	0.2117	0.38
lymphography	148	18	4	1.0	87.16	77.70	6.76	3.38	1.7935	0.1513	0.40
magic	19020	10	2	1.0	87.18	68.92	14.61	9.25	1.0114	0.1945	8.00
mammographic	961	5	2	1.0	81.04	71.88	30.52	27.40	1.0140	0.3017	0.58
molec-biol-promoter	106	57	2	1.0	96.15	79.81	37.50	38.46	1.2316	0.1578	0.45
molec-biol-splice	3190	60	3	1.0	88.24	68.26	24.53	26.91	1.4784	0.1147	3.85
monks-1	556	6	2	1.0	99.19	92.74	19.35	16.94	1.0479	0.1728	0.43
monks-2	601	6	2	1.0	76.79	55.95	25.00	34.52	1.0535	0.6501	0.43
monks-3	554	6	2	1.0	93.33	90.83	38.33	26.67	1.0511	0.3627	0.43
mushroom	8124	21	2	1.0	99.98	99.88	14.54	6.51	1.1637	0.2492	2.54
musk-1	476	166	2	1.0	88.87	79.62	4.83	8.61	1.4076	0.2299	0.77
musk-2	6598	166	2	1.0	99.26	83.52	47.21	50.06	1.3938	0.2412	6.17
nursery	12960	8	5	1.0	99.14	88.43	27.28	19.78	1.5637	0.2998	4.76
oocytes_merluccius_nucleus_4d	1022	41	2	1.0	82.16	38.53	16.96	11.86	1.0484	0.1220	1.26
oocytes_merluccius_states_2f	1022	25	3	1.0	92.65	81.08	38.53	33.73	1.5593	0.2010	0.59
oocytes_trisopterus_nucleus_2f	912	25	2	1.0	83.44	43.86	25.00	26.86	1.0271	0.1659	0.56
oocytes_trisopterus_states_5b	912	32	3	1.0	93.86	63.82	24.23	19.85	1.3643	0.1217	0.58
optical	5620	62	10	1.0	98.74	96.03	4.29	0.92	4.1807	0.1949	7.00
ozone	2536	72	2	1.0	97.16	97.16	97.16	97.16	1.4807	0.7062	2.31
page-blocks	5473	10	5	1.0	96.49	93.40	15.79	2.07	2.1964	0.1700	1.78
parkinsons	195	22	2	1.0	91.84	84.69	34.69	30.10	1.1560	0.2891	0.44
pendigits	10992	16	10	1.0	99.73	97.21	2.44	0.09	3.7325	0.2054	2.55
pima	768	8	2	1.0	77.86	73.31	44.92	34.77	1.0180	0.3153	0.53
pittsburg-bridges-MATERIAL	106	7	3	1.0	92.31	91.35	50.00	25.00	1.6181	0.3127	0.43
pittsburg-bridges-REL-L	103	7	3	1.0	70.19	68.27	8.65	0.96	1.8348	0.3090	0.43
pittsburg-bridges-SPAN	92	7	3	1.0	71.74	64.13	5.43	5.43	1.7922	0.3470	0.44
pittsburg-bridges-T-OR-D	102	7	2	1.0	89.00	89.00	40.00	31.00	1.2774	0.4621	0.43
pittsburg-bridges-TYPE	105	7	6	1.0	72.12	68.27	9.62	3.85	2.7232	0.3723	0.44
planning	182	12	2	1.0	71.11	71.11	71.11	71.11	1.7118	0.9053	0.43
plant-margin	1600	64	100	1.0	88.12	65.44	1.25	0.50	12.5541	0.1939	11.62
plant-shape	1600	64	100	1.0	74.31	20.31	0.25	0.06	6.6035	0.2920	14.89
plant-texture	1599	64	100	1.0	87.94	70.00	0.75	0.19	17.2846	0.2032	11.21
post-operative	90	8	3	1.0	72.73	72.73	72.73	72.73	1.9079	0.9695	0.42
primary-tumor	330	17	15	1.0	54.57	48.48	7.93	0.30	8.7688	0.1224	0.46
ringnorm	7400	20	2	1.0	98.43	95.26	31.42	45.61	1.0369	0.9342	2.26
seeds	210	7	3	1.0	92.79	84.13	42.79	28.37	1.2647	0.3104	0.44
semeion	1593	256	10	1.0	96.29	87.19	22.24	12.69	2.9040	0.2531	3.23
soybean	683	35	18	1.0	91.88	85.39	4.87	1.30	7.7966	0.1744	1.08
spambase	4601	57	2	1.0	94.78	66.78	36.93	31.20	1.0299	0.0934	4.43
spect	265	22	2	1.0	72.50	70.00	17.50	2.50	1.6933	0.2062	0.42
spectf	267	44	2	1.0	80.00	20.00	0.00	0.00	1.0835	0.4129	0.44
statlog-australian-credit	690	14	2	1.0	68.02	68.02	68.02	68.02	1.8379	0.5924	0.51
statlog-german-credit	1000	24	2	1.0	80.00	66.20	11.70	12.30	1.0867	0.2098	0.58
statlog-heart	270	13	2	1.0	87.69	83.21	24.63	27.99	1.2197	0.3692	0.45
statlog-image	2310	18	7	1.0	98.22	87.56	7.97	4.94	2.2829	0.3196	0.97
statlog-landsat	6435	36	6	1.0	92.06	73.13	9.94	4.82	2.5734	0.1846	6.88
statlog-shuttle	58000	9	7	1.0	99.95	94.31	33.48	26.15	1.4271	0.4507	35.13
statlog-vehicle	846	18	4	1.0	81.52	40.76	2.49	1.78	1.7260	0.1075	0.57
steel-plates	1941	27	7	1.0	78.87	56.03	3.97	2.01	2.1964	0.1922	0.85
synthetic-control	600	60	6	1.0	99.67	95.17	30.33	21.50	1.7442	0.2457	1.20
teaching	151	5	3	1.0	63.16	51.97	1.32	0.00	1.6512	0.4702	0.43
thyroid	7200	21	3	1.0	98.44	94.01	48.67	47.22	1.2277	0.1091	1.30
tic-tac-toe	958	9	2	1.0	97.49	51.05	45.40	61.61	1.0052	0.0732	0.57
titanic	2201	3	2	1.0	78.82	74.73	57.36	7.95	1.3120	0.4239	0.86
trains	10	29	2	1.0	87.50	87.50	62.50	62.50	1.7330	0.5351	0.41
twonorm	7400	20	2	1.0	97.84	92.97	52.58	46.62	1.0917	0.4832	2.26
vertebral-column-2clases	310	6	2	1.0	85.39	67.21	44.48	35.71	1.0973	0.3572	0.46
vertebral-column-3clases	310	6	3	1.0	85.71	75.97	28.57	22.08	1.4447	0.2921	0.44
wall-following	5456	24	4	1.0	93.70	62.65	20.44	17.25	1.4996	0.2048	1.79
waveform	5000	21	3	1.0	87.06	73.60	21.24	21.66	1.2688	0.2638	1.63
waveform-noise	5000	40	3	1.0	87.20	72.24	31.78	23.96	1.1693	0.2350	5.53
wine	178	13	3	1.0	97.73	96.02	6.82	0.57	2.1138	0.2324	0.45
wine-quality-red	1599	11	6	1.0	67.75	52.56	2.88	1.19	2.4749	0.2856	0.75
wine-quality-white	4898	11	7	1.0	67.83	46.38	0.31	0.02	2.5814	0.2407	1.66
yeast	1484	8	10	1.0	61.39	52.90	5.86	1.08	3.5020	0.2961	0.73
zoo	101	16	7	1.0	98.00	96.00	42.00	1.00	5.5251	0.2794	0.41
